Time,Open,Close,Volume
20250306 09:30:00 US/Eastern,32.94,33.1,752642
20250306 10:00:00 US/Eastern,33.11,33.41,429036
20250306 10:30:00 US/Eastern,33.4,33.37,2623739
20250306 11:00:00 US/Eastern,33.38,33.38,556793
20250306 11:30:00 US/Eastern,33.38,33.23,237589
20250306 12:00:00 US/Eastern,33.23,33.21,133695
20250306 12:30:00 US/Eastern,33.22,33.19,290495
20250306 13:00:00 US/Eastern,33.19,33.19,140595
20250306 13:30:00 US/Eastern,33.2,33.15,123251
20250306 14:00:00 US/Eastern,33.14,33.05,250156
20250306 14:30:00 US/Eastern,33.04,33.04,316538
20250306 15:00:00 US/Eastern,33.03,33.09,193495
20250306 15:30:00 US/Eastern,33.08,33.13,358650
20250307 09:30:00 US/Eastern,33.69,33.62,632950
20250307 10:00:00 US/Eastern,33.62,33.5,968217
20250307 10:30:00 US/Eastern,33.49,33.62,598913
20250307 11:00:00 US/Eastern,33.63,33.54,857225
20250307 11:30:00 US/Eastern,33.54,33.45,377362
20250307 12:00:00 US/Eastern,33.46,33.52,270373
20250307 12:30:00 US/Eastern,33.52,33.62,326124
20250307 13:00:00 US/Eastern,33.63,33.75,218815
20250307 13:30:00 US/Eastern,33.76,33.92,138620
20250307 14:00:00 US/Eastern,33.92,33.95,301584
20250307 14:30:00 US/Eastern,33.95,33.98,226246
20250307 15:00:00 US/Eastern,33.98,34.08,331009
20250307 15:30:00 US/Eastern,34.08,34.14,587305
20250310 09:30:00 US/Eastern,32.73,32.62,674125
20250310 10:00:00 US/Eastern,32.6,32.44,1039615
20250310 10:30:00 US/Eastern,32.44,32.23,470255
20250310 11:00:00 US/Eastern,32.23,32.23,350046
20250310 11:30:00 US/Eastern,32.23,32.39,901909
20250310 12:00:00 US/Eastern,32.39,32.22,336772
20250310 12:30:00 US/Eastern,32.23,32.13,185425
20250310 13:00:00 US/Eastern,32.13,32.0,158276
20250310 13:30:00 US/Eastern,31.99,31.86,150349
20250310 14:00:00 US/Eastern,31.86,31.75,204776
20250310 14:30:00 US/Eastern,31.76,31.69,171612
20250310 15:00:00 US/Eastern,31.7,31.88,258373
20250310 15:30:00 US/Eastern,31.88,31.89,626255
20250311 09:30:00 US/Eastern,31.68,31.64,516028
20250311 10:00:00 US/Eastern,31.63,31.35,474144
20250311 10:30:00 US/Eastern,31.35,31.35,289451
20250311 11:00:00 US/Eastern,31.34,31.52,322197
20250311 11:30:00 US/Eastern,31.52,31.42,228915
20250311 12:00:00 US/Eastern,31.41,31.38,199484
20250311 12:30:00 US/Eastern,31.38,31.27,207279
20250311 13:00:00 US/Eastern,31.26,31.05,396852
20250311 13:30:00 US/Eastern,31.05,31.24,304229
20250311 14:00:00 US/Eastern,31.24,31.4,379291
20250311 14:30:00 US/Eastern,31.4,31.49,451710
20250311 15:00:00 US/Eastern,31.49,31.44,434163
20250311 15:30:00 US/Eastern,31.44,31.39,690918
20250312 09:30:00 US/Eastern,31.96,31.81,456366
20250312 10:00:00 US/Eastern,31.81,31.97,390212
20250312 10:30:00 US/Eastern,31.98,31.85,206059
20250312 11:00:00 US/Eastern,31.85,31.72,184660
20250312 11:30:00 US/Eastern,31.73,31.83,91700
